id,name,state_id,is_legislator,chamber,start_command,end_command,block_id
law_deputy_138,"JURI, MARIANA",Mendoza,True,deputies,2009-12-10,2013-12-09,UCR
law_deputy_139,"KOSINER, PABLO FRANCISCO JUAN",Salta,True,deputies,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_140,"KRONEBERGER, DANIEL RICARDO",La Pampa,True,deputies,2011-12-10,2015-12-09,UCR
law_deputy_141,"KUNKEL, CARLOS MIGUEL",Buenos Aires,True,deputies,2009-12-10,2013-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_142,"LANDAU, JORGE ALBERTO",Buenos Aires,True,deputies,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_143,"LARROQUE, ANDRES",Ciudad Autónoma de Buenos Aires,True,deputies,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_144,"LEDESMA, JULIO RUBEN",Buenos Aires,True,deputies,2009-12-10,2013-12-09,FRENTE RENOVADOR
law_deputy_145,"LEVERBERG, STELLA MARIS",Misiones,True,deputies,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_146,"LINARES, MARIA VIRGINIA",Buenos Aires,True,deputies,2011-12-10,2015-12-09,GEN
law_deputy_147,"LLANOS, ERMINDO EDGARDO MARCELO",Jujuy,True,deputies,2009-12-10,2013-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_148,"LOTTO, INES BEATRIZ",Formosa,True,deputies,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_149,"LOZANO, CLAUDIO",Ciudad Autónoma de Buenos Aires,True,deputies,2011-12-10,2015-12-09,UNIDAD POPULAR
law_deputy_150,"MAJDALANI, SILVIA CRISTINA",Buenos Aires,True,deputies,2009-12-10,2013-12-09,PRO
law_deputy_151,"MALDONADO, VICTOR HUGO",Chaco,True,deputies,2011-12-10,2015-12-09,UCR
law_deputy_152,"MARTINEZ, JULIO CESAR",La Rioja,True,deputies,2009-12-10,2013-12-09,UCR
law_deputy_153,"MARTINEZ, ERNESTO FELIX",Córdoba,True,deputies,2009-12-10,2013-12-09,FRENTE CIVICO - CORDOBA
law_deputy_154,"MARTINEZ, SOLEDAD",Buenos Aires,True,deputies,2009-12-10,2013-12-09,PRO
law_deputy_155,"MARTINEZ, OSCAR ARIEL",Santa Fe,True,deputies,2011-12-10,2015-12-09,FRENTE RENOVADOR
law_deputy_156,"MAZZARELLA, SUSANA DEL VALLE",Córdoba,True,deputies,2009-12-10,2013-12-09,FRENTE CIVICO - CORDOBA
law_deputy_157,"MENDOZA, MAYRA SOLEDAD",Buenos Aires,True,deputies,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_158,"MENDOZA, SANDRA MARCELA",Chaco,True,deputies,2009-12-10,2013-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_159,"METAZA, MARIO ALFREDO",Santa Cruz,True,deputies,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_160,"MICHETTI, MARTA GABRIELA",Ciudad Autónoma de Buenos Aires,True,deputies,2009-12-10,2013-12-09,PRO
law_deputy_161,"MILMAN, GERARDO FABIAN",Buenos Aires,True,deputies,2009-12-10,2013-12-09,GEN
law_deputy_162,"MOLAS, PEDRO OMAR",Catamarca,True,deputies,2009-12-10,2013-12-09,FRENTE CIVICO Y SOCIAL DE CATAMARCA
law_deputy_163,"MOLINA, MANUEL ISAURO",Catamarca,True,deputies,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_164,"MONGELO, JOSE RICARDO",Chaco,True,deputies,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_165,"MORENO, CARLOS JULIO",Buenos Aires,True,deputies,2009-12-10,2013-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_166,"MOUILLERON, ROBERTO MARIO",Buenos Aires,True,deputies,2009-12-10,2013-12-09,FRENTE RENOVADOR
law_deputy_167,"MOYANO, JUAN FACUNDO",Buenos Aires,True,deputies,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_168,"MÜLLER, EDGAR RAUL",Córdoba,True,deputies,2011-12-10,2015-12-09,COMPROMISO FEDERAL
law_deputy_169,"MÜLLER, MABEL HILDA",Buenos Aires,True,deputies,2009-12-10,2013-12-09,FRENTE RENOVADOR
law_deputy_170,"NAVARRO, GRACIELA",Santiago del Estero,True,deputies,2011-12-10,2015-12-09,FRENTE CIVICO POR SANTIAGO
law_deputy_171,"NEBREDA, CARMEN ROSA",Córdoba,True,deputies,2009-12-10,2013-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_172,"NEGRI, MARIO RAUL",Córdoba,True,deputies,2011-12-10,2015-12-09,UCR
law_deputy_173,"OBIGLIO, JULIAN MARTIN",Ciudad Autónoma de Buenos Aires,True,deputies,2009-12-10,2013-12-09,PRO
law_deputy_174,"OCAÑA, MARIA GRACIELA",Buenos Aires,True,deputies,2011-12-10,2015-12-09,UNIDAD PARA EL DESARROLLO SOCIAL Y LA EQUIDAD
law_deputy_175,"OLIVA, CRISTIAN RODOLFO",Santiago del Estero,True,deputies,2009-12-10,2013-12-09,FRENTE CIVICO POR SANTIAGO
law_deputy_176,"OLMEDO, ALFREDO HORACIO",Salta,True,deputies,2009-12-10,2013-12-09,SALTA SOMOS TODOS
law_deputy_177,"OPORTO, MARIO NESTOR",Buenos Aires,True,deputies,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_178,"ORSOLINI, PABLO EDUARDO",Chaco,True,deputies,2009-12-10,2013-12-09,UCR
law_deputy_179,"ORTIZ, MARIELA",Jujuy,True,deputies,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_180,"ORTIZ CORREA, MARCIA SARA MARIA",Catamarca,True,deputies,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_181,"PAIS, JUAN MARIO",Chubut,True,deputies,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_182,"PANSA, SERGIO HORACIO",San Luis,True,deputies,2009-12-10,2013-12-09,COMPROMISO FEDERAL
law_deputy_183,"PARADA, LILIANA BEATRIZ",Ciudad Autónoma de Buenos Aires,True,deputies,2009-12-10,2013-12-09,UNIDAD POPULAR
law_deputy_184,"PASTORIZA, MIRTA AMELIANA",Santiago del Estero,True,deputies,2011-12-10,2015-12-09,FRENTE CIVICO POR SANTIAGO
law_deputy_185,"PERALTA, FABIAN FRANCISCO",Santa Fe,True,deputies,2011-12-10,2015-12-09,GEN
law_deputy_186,"PEREZ, ALBERTO JOSE",San Luis,True,deputies,2009-12-10,2013-12-09,COMPROMISO FEDERAL
law_deputy_187,"PERIE, JULIA ARGENTINA",Misiones,True,deputies,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_188,"PEROTTI, OMAR ANGEL",Santa Fe,True,deputies,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_189,"PERRONI, ANA MARIA",Corrientes,True,deputies,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_190,"PIEMONTE, HECTOR HORACIO",Buenos Aires,True,deputies,2009-12-10,2013-12-09,COALICION CIVICA - ARI
law_deputy_191,"PIETRAGALLA CORTI, HORACIO",Buenos Aires,True,deputies,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_192,"PILATTI VERGARA, MARIA INES",Chaco,True,deputies,2009-12-10,2013-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_193,"PINEDO, FEDERICO",Ciudad Autónoma de Buenos Aires,True,deputies,2011-12-10,2015-12-09,PRO
law_deputy_194,"PLAINI, FRANCISCO OMAR",Buenos Aires,True,deputies,2009-12-10,2013-12-09,"CULTURA, EDUCACION Y TRABAJO"
law_deputy_195,"PORTELA, AGUSTIN ALBERTO",Corrientes,True,deputies,2011-12-10,2015-12-09,UCR
law_deputy_196,"PRADINES, ROBERTO ARTURO",Mendoza,True,deputies,2011-12-10,2015-12-09,DEMOCRATA DE MENDOZA
law_deputy_197,"PUCHETA, RAMONA",Buenos Aires,True,deputies,2011-12-10,2015-12-09,COMPROMISO FEDERAL
law_deputy_198,"PUERTA, FEDERICO RAMON",Misiones,True,deputies,2009-12-10,2013-12-09,FRENTE PERONISTA
law_deputy_199,"PUIGGROS, ADRIANA VICTORIA",Buenos Aires,True,deputies,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_200,"RAIMUNDI, CARLOS ALBERTO",Buenos Aires,True,deputies,2011-12-10,2015-12-09,FRENTE NUEVO ENCUENTRO
law_deputy_201,"RASINO, ELIDA ELENA",Santa Fe,True,deputies,2011-12-10,2015-12-09,PARTIDO SOCIALISTA
law_deputy_202,"RE, HILMA LEONOR",Entre Ríos,True,deputies,2009-12-10,2013-12-09,COALICION CIVICA - ARI
law_deputy_203,"RECALDE, HECTOR PEDRO",Buenos Aires,True,deputies,2009-12-10,2013-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_204,"REDCZUK, OSCAR FELIPE",Misiones,True,deputies,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_205,"REGAZZOLI, MARIA CRISTINA",La Pampa,True,deputies,2009-12-10,2013-12-09,PARTIDO JUSTICIALISTA LA PAMPA
law_deputy_206,"RIESTRA, ANTONIO SABINO",Santa Fe,True,deputies,2011-12-10,2015-12-09,UNIDAD POPULAR
law_deputy_207,"RIOS, LILIANA MARIA",Entre Ríos,True,deputies,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_208,"RIOS, ROBERTO FABIAN",Corrientes,True,deputies,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_209,"RISKO, SILVIA LUCRECIA",Misiones,True,deputies,2009-12-10,2013-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_210,"RIVARA, RAUL ALBERTO",Buenos Aires,True,deputies,2009-12-10,2013-12-09,FRENTE RENOVADOR
law_deputy_211,"RIVAROLA, RUBEN ARMANDO",Jujuy,True,deputies,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_212,"RIVAS, JORGE",Buenos Aires,True,deputies,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_213,"ROBERTI, ALBERTO OSCAR",Buenos Aires,True,deputies,2011-12-10,2015-12-09,FRENTE RENOVADOR
law_deputy_214,"ROBLEDO, ROBERTO RICARDO",La Pampa,True,deputies,2009-12-10,2013-12-09,PARTIDO JUSTICIALISTA LA PAMPA
