id,name,stage_ids/id,unicameral
law_tracking_project_type_1,Unicameral,"law_tracking_stage_2,law_tracking_stage_4,law_tracking_stage_13,law_tracking_stage_15,law_tracking_stage_17,law_tracking_stage_14,law_tracking_stage_12",True
law_tracking_project_type_2,By Deputies,"law_tracking_stage_2,law_tracking_stage_4,law_tracking_stage_9,law_tracking_stage_11,law_tracking_stage_13,law_tracking_stage_15,law_tracking_stage_17,law_tracking_stage_14,law_tracking_stage_12",False
law_tracking_project_type_3,By Senators,"law_tracking_stage_1,law_tracking_stage_3,law_tracking_stage_8,law_tracking_stage_10,law_tracking_stage_13,law_tracking_stage_15,law_tracking_stage_17,law_tracking_stage_14,law_tracking_stage_12",False
